Date,Open,High,Low,Close,Volume,Num_deals,Value
2011-05-15,6713.62,6747.62,6688.84,6690.68,330468189,151186,6625599270.00
2011-05-14,6722.38,6722.38,6678.38,6713.62,267391020,119499,5072737286.70
2011-05-11,6712.97,6735.13,6702.94,6722.38,340087802,138627,6147294537.55
2011-09-05,6153.36,6153.36,6080.71,6090.54,172931328,78613,3424479017.60
2011-09-04,6106.93,6155.26,6089.79,6153.36,160303721,75779,3025013293.45
2011-05-10,6673.26,6716.74,6672.95,6712.97,301069732,133962,5966675249.10
2011-05-09,6623.55,6690.81,6623.55,6673.26,284435547,132935,6012460977.35
2011-05-08,6577.74,6624.15,6555.73,6623.55,255296938,134242,5497304633.20
2011-05-07,6682.61,6682.61,6567.42,6577.74,287513889,150442,6563033224.90
2011-05-04,6694.14,6695.66,6668.34,6682.61,227804932,112978,4758282584.75
2011-05-03,6719.53,6720.04,6682.43,6694.14,219628569,106602,4574370723.30
2011-05-02,6683.81,6723.83,6678.77,6719.53,238871561,101970,4829086769.80
2011-05-01,6710.56,6713.25,6663.92,6683.81,236351514,110890,4650308667.05
2011-09-03,5979.30,6112.04,5978.03,6106.93,121142749,60570,2682453791.45
2011-08-24,5920.73,5986.97,5919.82,5979.30,110340625,73349,2592208964.65
2011-08-23,5916.31,5944.29,5909.56,5920.73,108021513,70899,2759848151.75
2011-08-22,5916.31,5946.82,5874.49,5916.31,125966421,71663,3278026431.95
2011-08-21,5931.29,5956.93,5914.22,5916.31,98362023,68396,2333762797.85
2011-08-20,6088.25,6088.25,5890.41,5931.29,115429508,66036,2719804315.55
2011-08-17,6053.72,6088.25,6042.76,6088.25,85226860,51926,2021380487.10
2011-04-30,6724.26,6760.47,6705.92,6710.56,280360439,120627,5600509221.75
2011-04-27,6686.30,6736.62,6686.02,6724.26,251046945,119541,5836389834.15
2011-04-26,6684.70,6700.72,6668.20,6686.30,261001494,122875,5534940684.10
2011-04-25,6614.17,6686.48,6614.17,6684.70,245268539,115062,5933278008.95
2011-04-24,6590.64,6629.12,6570.08,6614.17,262698455,118948,5923707119.05
2011-08-16,6136.10,6150.66,6047.05,6053.72,125332646,70939,3096540145.85
2011-08-15,6115.19,6160.21,6115.19,6136.10,122082746,61715,2751405366.05
2011-08-14,6155.88,6155.97,6109.02,6115.19,131714271,65553,2804150609.55
2011-08-13,6039.32,6161.27,6038.95,6155.88,135806612,67269,2876001585.00
2011-08-10,6008.67,6123.71,6008.67,6039.32,141563272,73898,3198254060.05
2011-08-09,6057.79,6057.79,5795.44,6008.67,196286946,92193,4226775556.85
2011-08-08,6078.05,6118.76,6013.59,6057.79,121800499,67583,2872404542.45
2011-08-07,6073.44,6117.48,6009.86,6078.05,148457420,81142,3302360982.40
