Date,Open,High,Low,Close,Volume,Adj Close,Num_deals,Value
2009-10-27,6563.5,6563.5,6506.02,6532.92,218360933,6532.92,136418,5287051791
2009-10-26,6527.53,6574.25,6526.12,6563.5,237856202,6563.5,139771,5574854890
2009-10-25,6568.47,6578.79,6512.71,6527.53,221802230,6527.53,142107,5534083298
2009-10-24,6515.81,6571.75,6483.74,6568.47,235248724,6568.47,139823,5931808184
2009-10-21,6541.48,6542.1,6451.21,6515.81,238912589,6515.81,145503,6177519794
2009-10-20,6535.09,6566.76,6511.01,6541.48,273286557,6541.48,151125,6676367355
2009-10-19,6396.1,6546.77,6396.1,6535.09,312429966,6535.09,152086,8342652713
2009-10-18,6432.96,6461.09,6356.81,6396.1,215629638,6396.1,130323,5201572877
2009-10-17,6449.81,6485.98,6423.26,6432.96,297271135,6432.96,145265,6486451148
2009-10-14,6351.38,6456.03,6349.66,6449.81,254867446,6449.81,125712,5626067301
2009-10-13,6400.39,6402.33,6338.03,6351.38,160298642,6351.38,103934,4037929859
2009-10-12,6399.63,6422.86,6374.34,6400.39,219308863,6400.39,121622,5137723582
2009-10-11,6370.74,6405.32,6369.9,6399.63,231787442,6399.63,122766,5366910240
2009-10-10,6314.78,6376.15,6297.68,6370.74,215116614,6370.74,110925,5062674712
2009-10-07,6340.51,6368.82,6284.77,6314.78,200222167,6314.78,123823,4916621071
2009-10-06,6282.38,6344.77,6282.38,6340.51,175067278,6340.51,116682,4193183927
2009-10-05,6302.1,6341.65,6267.81,6282.38,202174990,6282.38,125734,4931119221
2009-10-04,6265.2,6302.1,6253.15,6302.1,189898654,6302.1,122566,4414763729
2009-10-03,6322.04,6322.04,6239.63,6265.2,173022626,6265.2,121917,4163983565
2009-09-30,6279.47,6337.17,6253.59,6322.04,197694978,6322.04,132795,5103000726
2009-09-29,6227.07,6286.67,6222.6,6279.47,187131629,6279.47,120184,4864093851
2009-09-28,6178.14,6229.7,6110.16,6227.07,181889743,6227.07,116545,4700081148
2009-09-27,6130.95,6217.88,6130.95,6178.14,194738398,6178.14,109798,4702615323
2009-09-26,5947.77,6144.26,5947.77,6130.95,203916795,6130.95,103249,4956008821
2009-09-16,5856.99,5959.02,5856.99,5947.77,164012339,5947.77,119208,4489163365
2009-09-15,5821.08,5862.9,5819.16,5856.99,128141635,5856.99,86116,3370512421
2009-09-14,5817.8,5824.43,5769.48,5821.08,114286314,5821.08,84828,2878794065
2009-09-13,5786.05,5833.24,5783.18,5817.8,134090378,5817.8,94030,3671853797
2009-09-12,5712.95,5792.6,5712.95,5786.05,120495720,5786.05,87178,3154568068
2009-09-09,5754.86,5755.46,5698.64,5712.95,113537872,5712.95,93699,3300525587
2009-09-08,5691.56,5754.86,5673.39,5754.86,123516670,5754.86,80351,3217892443
2009-09-07,5667.94,5695.47,5662.01,5691.56,87489772,5691.56,71706,2209809147
